,season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
236,1986,6282,9270,0,3,18,77,59,1,0.16062234
237,1986,9630,9471,0,9,23,74,51,1,0.20457754
238,1986,514,9630,0,-4,7,70,63,1,0.1472147
239,1986,4942,9630,0,-1,-6,64,70,0,0.09860137
240,1986,9471,9630,0,-9,-23,51,74,0,0.10165546
241,1986,6282,9766,0,11,12,84,72,1,0.15565643
242,1986,867,9848,0,3,18,83,65,1,0.1437083
243,1986,3235,10021,0,8,5,66,61,1,0.12995087
244,1986,10089,10021,0,3,-9,62,71,0,0.18022484
245,1986,2205,10055,0,-7,4,72,68,1,0.111961156
246,1986,10021,10089,0,-3,9,71,62,1,0.14438325
247,1986,4265,10225,0,7,7,71,64,1,0.18553053
248,1986,5979,10225,0,-1,-8,59,67,0,0.12820143
249,1986,5247,10367,0,7,2,72,70,1,0.16250367
250,1986,6733,10469,0,1,8,72,64,1,0.12716244
251,1986,74,10787,0,7,17,97,80,1,0.11890099
252,1987,5886,75,0,-13,-17,71,88,0,0.16119774
253,1987,6150,75,0,-5,-25,76,101,0,0.17030902
254,1987,7169,75,0,-4,21,103,82,1,0.18319385
255,1987,9849,290,0,3,7,98,91,1,0.12801948
256,1987,3820,515,0,7,17,107,90,1,0.1515903
257,1987,7661,515,0,-1,-1,61,62,0,0.16870229
258,1987,3747,556,0,11,-1,67,68,0,0.16484524
259,1987,7169,556,0,8,3,90,87,1,0.17814746
260,1987,3134,954,0,15,22,75,53,1,0.16271599
261,1987,6150,1049,0,3,4,83,79,1,0.16654524
262,1987,9404,1083,0,9,19,92,73,1,0.1476436
263,1987,5447,1518,0,-9,5,65,60,1,0.1690805
264,1987,4564,2206,0,-11,-14,62,76,0,0.12984517
265,1987,4734,2206,0,-7,5,63,58,1,0.14313321
266,1987,8407,2206,0,-3,-8,75,83,0,0.15656462
267,1987,3820,2342,0,4,6,88,82,1,0.13681152
268,1987,8918,2342,0,-7,-7,51,58,0,0.1529165
269,1987,10788,2342,0,-8,-5,60,65,0,0.106428914
270,1987,3820,2711,0,15,34,92,58,1,0.15638308
271,1987,5931,2781,0,-5,-12,70,82,0,0.1358979
272,1987,7203,2781,0,3,-19,66,85,0,0.17696047
273,1987,8664,2781,0,4,6,87,81,1,0.15015244
274,1987,8664,3050,0,13,6,79,73,1,0.1599334
275,1987,954,3134,0,-15,-22,53,75,0,0.115733035
276,1987,4151,3134,0,-4,-13,57,70,0,0.16540912
277,1987,6631,3134,0,-8,-3,79,82,0,0.12552212
278,1987,7169,3134,0,-5,15,88,73,1,0.17810896
279,1987,4185,3168,0,-1,3,82,79,1,0.12315318
280,1987,4734,3236,0,-3,6,85,79,1,0.15488973
281,1987,4151,3561,0,7,11,66,55,1,0.18493232
282,1987,9631,3679,0,15,25,95,70,1,0.19674037
283,1987,556,3747,0,-11,1,68,67,1,0.14252876
284,1987,515,3820,0,-7,-17,90,107,0,0.11297472
285,1987,2342,3820,0,-4,-6,82,88,0,0.14906907
286,1987,2711,3820,0,-15,-34,58,92,0,0.10126929
287,1987,4734,3820,0,-9,-1,76,77,0,0.14538273
288,1987,8664,3820,0,-1,-1,73,74,0,0.1542961
289,1987,9631,3820,0,0,-4,93,97,0,0.1995837
290,1987,6666,3922,0,-4,-2,91,93,0,0.11250608
291,1987,7830,3922,0,-13,-23,76,99,0,0.119192846
292,1987,9631,3922,0,1,3,84,81,1,0.19219798
293,1987,9849,3922,0,-5,-2,82,84,0,0.11862239
294,1987,3134,4151,0,4,13,70,57,1,0.14237617
295,1987,3561,4151,0,-7,-11,55,66,0,0.09469449
296,1987,5447,4151,0,-8,-4,63,67,0,0.17173854
297,1987,3168,4185,0,1,-3,79,82,0,0.15674901
298,1987,9631,4185,0,8,19,80,61,1,0.20475562
299,1987,6631,4266,0,-1,14,91,77,1,0.1362904
300,1987,2206,4564,0,11,14,76,62,1,0.14925568
301,1987,2206,4734,0,7,-5,58,63,0,0.1438149
302,1987,3236,4734,0,3,-6,79,85,0,0.115101844
303,1987,3820,4734,0,9,1,77,76,1,0.1383209
304,1987,8748,4734,0,8,-10,62,72,0,0.16940442
305,1987,7002,4841,0,11,25,93,68,1,0.13858885
306,1987,8714,4909,0,9,16,76,60,1,0.13233106
307,1987,5852,5214,0,1,-15,82,97,0,0.14797331
308,1987,6283,5214,0,8,12,109,97,1,0.20162195
309,1987,10788,5384,0,-9,1,70,69,1,0.09745652
310,1987,1518,5447,0,9,-5,60,65,0,0.15987846
311,1987,4151,5447,0,8,4,67,63,1,0.15338673
312,1987,6544,5717,0,7,13,84,71,1,0.17483114
313,1987,5214,5852,0,-1,15,97,82,1,0.13506298
314,1987,75,5886,0,13,17,88,71,1,0.13376367
315,1987,2781,5931,0,5,12,82,70,1,0.15062788
316,1987,75,6150,0,5,25,101,76,1,0.13003306
317,1987,1049,6150,0,-3,-4,79,83,0,0.13922536
318,1987,5214,6283,0,-8,-12,97,109,0,0.11309661
319,1987,6544,6283,0,-4,-6,68,74,0,0.16360244
320,1987,6900,6283,0,-15,-31,82,113,0,0.103812374
321,1987,8664,6283,0,-1,4,79,75,1,0.12966008
322,1987,7203,6374,0,11,9,104,95,1,0.1800562
323,1987,5717,6544,0,-7,-13,71,84,0,0.15351847
324,1987,6283,6544,0,4,6,74,68,1,0.1809424
325,1987,8714,6544,0,1,-1,57,58,0,0.11426844
326,1987,3134,6631,0,8,3,82,79,1,0.15870786
327,1987,4266,6631,0,1,-14,77,91,0,0.1324084
328,1987,3922,6666,0,4,2,93,91,1,0.16679633
329,1987,7002,6666,0,3,-3,93,96,0,0.14181262
330,1987,9169,6666,0,-5,-5,69,74,0,0.15093094
331,1987,6283,6900,0,15,31,113,82,1,0.20542337
332,1987,4841,7002,0,-11,-25,68,93,0,0.1306091
333,1987,6666,7002,0,-3,3,96,93,1,0.12273562
334,1987,75,7169,0,4,-21,82,103,0,0.12475739
335,1987,556,7169,0,-8,-3,87,90,0,0.13708217
336,1987,3134,7169,0,5,-15,73,88,0,0.13717625
337,1987,8664,7169,0,4,14,77,63,1,0.13637654
338,1987,9271,7169,0,-5,-22,68,90,0,0.12733606
339,1987,2781,7203,0,-3,19,85,66,1,0.13381487
340,1987,6374,7203,0,-11,-9,95,104,0,0.12625416
341,1987,515,7661,0,1,1,62,61,1,0.105968244
342,1987,3922,7830,0,13,23,99,76,1,0.16405843
343,1987,8748,8241,0,13,19,75,56,1,0.18447755
344,1987,2206,8407,0,3,8,83,75,1,0.13831544
345,1987,10566,8407,0,-5,-2,55,57,0,0.146886
346,1987,2781,8664,0,-4,-6,81,87,0,0.14479138
347,1987,3050,8664,0,-13,-6,73,79,0,0.120903276
348,1987,3820,8664,0,1,1,74,73,1,0.13467133
349,1987,6283,8664,0,1,-4,75,79,0,0.19484006
350,1987,7169,8664,0,-4,-14,63,77,0,0.1784364
351,1987,10226,8664,0,-8,-18,86,104,0,0.14780784
352,1987,4909,8714,0,-9,-16,60,76,0,0.14678754
353,1987,6544,8714,0,-1,1,58,57,1,0.19090201
354,1987,4734,8748,0,-8,10,72,62,1,0.1326556
355,1987,8241,8748,0,-13,-19,56,75,0,0.095842384
356,1987,2342,8918,0,7,7,58,51,1,0.1424749
357,1987,6666,9169,0,5,5,74,69,1,0.11900213
358,1987,7169,9271,0,5,22,90,68,1,0.18213801
359,1987,1083,9404,0,-9,-19,73,92,0,0.15163895
360,1987,10754,9404,0,-8,10,78,68,1,0.1354499
361,1987,3679,9631,0,-15,-25,70,95,0,0.12307264
362,1987,3820,9631,0,0,4,97,93,1,0.11612837
363,1987,3922,9631,0,-1,-3,81,84,0,0.13416657
364,1987,4185,9631,0,-8,-19,61,80,0,0.10349694
365,1987,10754,9631,0,-11,-14,78,92,0,0.117052
366,1987,290,9849,0,-3,-7,91,98,0,0.14134142
367,1987,3922,9849,0,5,2,84,82,1,0.16429201
368,1987,10754,10056,0,-7,4,64,60,1,0.13429512
369,1987,8664,10226,0,8,18,104,86,1,0.14891736
370,1987,10470,10226,0,3,-2,62,64,0,0.18034601
371,1987,10226,10470,0,-3,2,64,62,1,0.13493942
372,1987,8407,10566,0,5,2,57,55,1,0.1530554
373,1987,9404,10754,0,8,-10,68,78,0,0.15427217
374,1987,9631,10754,0,11,14,92,78,1,0.19920552
375,1987,10056,10754,0,7,-4,60,64,0,0.1570925
376,1987,2342,10788,0,8,5,65,60,1,0.16150919
377,1987,5384,10788,0,9,-1,69,70,0,0.18342254
378,1988,1849,291,0,-15,-40,50,90,0,0.14140578
379,1988,3923,291,0,-4,-20,79,99,0,0.115441844
380,1988,6284,291,0,-1,-18,52,70,0,0.15491948
381,1988,6667,291,0,0,8,86,78,1,0.13576858
382,1988,7962,291,0,-7,-29,55,84,0,0.11367019
383,1988,10023,413,0,5,8,82,74,1,0.15696879
384,1988,869,516,0,-1,-4,86,90,0,0.15709938
385,1988,6667,516,0,7,20,107,87,1,0.16048336
386,1988,5080,625,0,-1,15,75,60,1,0.1481627
387,1988,5215,733,0,11,5,63,58,1,0.155891
388,1988,2343,801,0,13,16,85,69,1,0.17397818
389,1988,516,869,0,1,4,90,86,1,0.13899049
390,1988,1349,1050,0,-9,-6,92,98,0,0.16144562
391,1988,4599,1050,0,-1,21,97,76,1,0.14548372
392,1988,1050,1349,0,9,6,98,92,1,0.14999737
393,1988,6667,1383,0,15,28,94,66,1,0.16949958
394,1988,291,1849,0,15,40,90,50,1,0.19565791
395,1988,4186,2207,0,1,8,66,58,1,0.11770375
396,1988,10567,2207,0,-7,-21,62,83,0,0.1505133
397,1988,801,2343,0,-13,-16,69,85,0,0.14761204
398,1988,4152,2343,0,-4,7,66,59,1,0.12911314
399,1988,7292,2343,0,-9,-1,72,73,0,0.14479055
400,1988,8062,2343,0,-5,-15,79,94,0,0.1686114
401,1988,8749,2343,0,1,-10,53,63,0,0.15240173
402,1988,7003,2479,0,13,18,108,90,1,0.17742738
403,1988,7204,2678,0,15,15,94,79,1,0.16984867
404,1988,5215,2782,0,3,23,108,85,1,0.16681978
405,1988,8408,2782,0,-5,-3,59,62,0,0.09670096
406,1988,3923,2881,0,7,4,102,98,1,0.14136384
407,1988,4735,3135,0,-1,-3,63,66,0,0.09247641
408,1988,8749,3135,0,7,21,74,53,1,0.16405267
409,1988,3957,3237,0,-7,-12,78,90,0,0.122764096
410,1988,7360,3237,0,-8,4,59,55,1,0.13837254
411,1988,9734,3748,0,-11,-9,72,81,0,0.12676421
412,1988,10023,3748,0,-3,3,66,63,1,0.14858264
413,1988,7360,3821,0,-9,3,72,69,1,0.11510535
414,1988,291,3923,0,4,20,99,79,1,0.20628881
415,1988,2881,3923,0,-7,-4,98,102,0,0.14297928
416,1988,9632,3923,0,1,-18,86,104,0,0.17253973
417,1988,3237,3957,0,7,12,90,78,1,0.12608565
418,1988,2343,4152,0,4,-7,59,66,0,0.18155253
419,1988,4186,4152,0,2,-13,58,71,0,0.1200268
420,1988,5752,4152,0,-8,-3,58,61,0,0.11725552
421,1988,6667,4152,0,5,-4,79,83,0,0.16041698
422,1988,9955,4152,0,-1,-13,64,77,0,0.1525751
423,1988,10789,4152,0,-5,-13,72,85,0,0.1737174
424,1988,2207,4186,0,-1,-8,58,66,0,0.15997837
425,1988,4152,4186,0,-2,13,71,58,1,0.15430479
426,1988,4301,4186,0,-9,-13,53,66,0,0.14463261
427,1988,7204,4186,0,3,-3,70,73,0,0.17466573
428,1988,4944,4267,0,-5,-9,81,90,0,0.1216553
429,1988,8242,4267,0,-13,-15,84,99,0,0.15912703
430,1988,10023,4267,0,-4,6,80,74,1,0.13802205
431,1988,4186,4301,0,9,13,66,53,1,0.12398706
432,1988,8749,4403,0,15,14,87,73,1,0.16556317
433,1988,1050,4599,0,1,-21,76,97,0,0.15653294
434,1988,6667,4599,0,4,10,108,98,1,0.15740332
435,1988,6833,4599,0,-7,-9,61,70,0,0.15070802
436,1988,6284,4633,0,8,26,123,97,1,0.15940493
437,1988,10755,4633,0,3,-4,115,119,0,0.11355235
438,1988,3135,4735,0,1,3,66,63,1,0.17286868
439,1988,4267,4944,0,5,9,90,81,1,0.17821094
440,1988,7797,4944,0,-3,-10,82,92,0,0.15080208
441,1988,625,5080,0,1,-15,60,75,0,0.1605993
442,1988,7204,5080,0,8,27,100,73,1,0.15955737
443,1988,733,5215,0,-11,-5,58,63,0,0.18171471
444,1988,2782,5215,0,-3,-23,85,108,0,0.15502328
445,1988,6284,5215,0,1,9,78,69,1,0.1663627
446,1988,7292,5385,0,-5,7,87,80,1,0.17232893
447,1988,9632,5448,0,9,4,54,50,1,0.16610843
448,1988,4152,5752,0,8,3,61,58,1,0.15543948
449,1988,5932,5752,0,11,-3,75,78,0,0.16647717
450,1988,8665,5887,0,11,14,69,55,1,0.15219128
451,1988,5752,5932,0,-11,3,78,75,1,0.11273615
452,1988,291,6284,0,1,18,70,52,1,0.19012474
453,1988,4633,6284,0,-8,-26,97,123,0,0.1791699
454,1988,5215,6284,0,-1,-9,69,78,0,0.16217686
455,1988,6341,6284,0,-13,-18,65,83,0,0.1406909
456,1988,6284,6341,0,13,18,83,65,1,0.17516011
457,1988,8062,6545,0,3,8,83,75,1,0.17836393
458,1988,291,6667,0,0,-8,78,86,0,0.19796604
459,1988,516,6667,0,-7,-20,87,107,0,0.13760492
460,1988,1383,6667,0,-15,-28,66,94,0,0.11558456
461,1988,4152,6667,0,-5,4,83,79,1,0.13776708
462,1988,4599,6667,0,-4,-10,98,108,0,0.14512734
463,1988,10023,6667,0,-5,-19,59,78,0,0.14353007
464,1988,4599,6833,0,7,9,70,61,1,0.14786872
465,1988,2479,7003,0,-13,-18,90,108,0,0.13487995
466,1988,9955,7003,0,-5,6,80,74,1,0.13820904
